Sub-Borough,Zip-Codes,
Riverdale/Kingsbridge,10471 10463,
Soundview/Parkchester,10473 10472 10462,
Pelham Parkway,10461 10462,
Williamsbridge/Baychester,10466 10467 10469 ,
Williamsburg/Greenpoint,11211 11205 11206 11222 11249,
Brooklyn Heights/Fort Greene,11201 11217 11205 11238 11243,
Bedford Stuyvesant,11216 11221 11233 11206 11238 11205,
Bushwick,11237 11221 11206 11207,
East New York/Starrett City,11207 11212 11208 11239 11236 11256 ,
Park Slope/Carroll Gardens,11215 11231 ,
Sunset Park,11220 11232 ,
North Crown Heights/Prospect Heights,11238,
South Crown Heights,11213 11216 11233,
Bay Ridge,11209 11220,
Bensonhurst,11214 11204 11228 11219 ,
Borough Park,11204 11218 11219 11230,
Flatbush,112116,
Brownsville/Ocean Hill,11212 11236 11233 ,
East Flatbush,11203,
Jackson Heights,11372,
Elmhurst/Corona,11373 11368,
Middle Village/Ridgewood,11379 11385,
Rego Park/Forest Hills,11374 11375,
Flushing/Whitestone,11355 11354 11351 11357 11356 11352 11386,
Flatlands/Canarsie,11234 11236 11239,
Astoria,11101 11102 11103 11104 11105 11106,
Sunnyside/Woodside,11104 11377,
Hillcrest/Fresh Meadows,11365 11366,
Ozone Park/Woodhaven,11416 11417 11421,
Jamaica,11412 11423 11432 11433 11434 11435 11436,
North Shore,11005,
Greenwich Village/Financial District,10012 10013 10014,
Lower East Side/Chinatown,10002 10003 10009,
Chelsea/Clinton/Midtown,10001 10011 10018 10019 10020 10036,
Stuyvesant Town/Turtle Bay,10003 10009 10017,
Upper West Side,10023 10024 10025,
Upper East Side,10021 10028 10044 10065 10075 10128,
Morningside Heights/Hamilton Heights,10027 10115 10025 10031,
Central Harlem,10026 10027 10030 10037 10039,
East Harlem,10029 10035,
Washington Heights/Inwood,10031 10032 10033 10034 10040,
Mott Haven/Hunts Point,10454 10455 10459 10474,
Morrisania/Belmont,10456 10459,
Highbridge/South Concourse,10451 10452 10456,
University Heights/Fordham,10453 10468 10458 10457,
Kingsbridge Heights/Mosholu,10463 10468,
,,
,,
,,