Sub-Borough,Label
Mott Haven/Hunts Point,2
Morrisania/Belmont,2
Highbridge/South Concourse,1
University Heights/Fordham,1
Kingsbridge Heights/Mosholu,1
Riverdale/Kingsbridge,0
Soundview/Parkchester,1
Throgs Neck/Co-op City,0
Pelham Parkway,0
Williamsbridge/Baychester,0
Williamsburg/Greenpoint,2
Brooklyn Heights/Fort Greene,0
Bedford Stuyvesant,2
Bushwick,2
East New York/Starrett City,1
Park Slope/Carroll Gardens,0
Sunset Park,2
North Crown Heights/Prospect Heights,2
South Crown Heights,2
Bay Ridge,0
Bensonhurst,1
Borough Park,0
Coney Island,1
Flatbush,0
Sheepshead Bay/Gravesend,0
Brownsville/Ocean Hill,2
East Flatbush,0
Flatlands/Canarsie,0
Greenwich Village/Financial District,0
Lower East Side/Chinatown,2
Chelsea/Clinton/Midtown,0
Stuyvesant Town/Turtle Bay,0
Upper West Side,0
Upper East Side,0
Morningside Heights/Hamilton Heights,2
Central Harlem,2
East Harlem,2
Washington Heights/Inwood,2
Astoria,2
Sunnyside/Woodside,0
Jackson Heights,0
Elmhurst/Corona,0
Middle Village/Ridgewood,0
Rego Park/Forest Hills,0
Flushing/Whitestone,0
Hillcrest/Fresh Meadows,0
Ozone Park/Woodhaven,0
South Ozone Park/Howard Beach,0
Bayside/Little Neck,0
Jamaica,0
Queens Village,0
Rockaways,0
North Shore,0
Mid-Island,0
South Shore,0